Column 1,Column 2,Column 3,Column 4
1,"Stephen Curry, PG",Golden State Warriors,"$55,761,216"
2,"Joel Embiid, C",Philadelphia 76ers,"$51,415,938"
3,"Nikola Jokic, C",Denver Nuggets,"$51,415,938"
4,"Kevin Durant, PF",Phoenix Suns,"$51,179,021"
5,"Bradley Beal, SG",Phoenix Suns,"$50,203,930"
6,"Kawhi Leonard, SF",LA Clippers,"$49,350,000"
7,"Devin Booker, SG",Phoenix Suns,"$49,205,800"
8,"Paul George, F",Philadelphia 76ers,"$49,205,800"
9,"Karl-Anthony Towns, C",New York Knicks,"$49,205,800"
10,"Jaylen Brown, SG",Boston Celtics,"$49,205,800"
RK,NAME,TEAM,SALARY
11,"Jimmy Butler III, SF",Golden State Warriors,"$48,798,677"
12,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$48,787,676"
13,"Damian Lillard, PG",Milwaukee Bucks,"$48,787,676"
14,"LeBron James, SF",Los Angeles Lakers,"$48,728,845"
15,"Zach LaVine, SG",Sacramento Kings,"$44,531,940"
16,"Rudy Gobert, C",Minnesota Timberwolves,"$43,827,587"
17,"Anthony Davis, PF",Dallas Mavericks,"$43,219,440"
18,"Luka Doncic, PG",Los Angeles Lakers,"$43,031,940"
19,"Trae Young, PG",Atlanta Hawks,"$43,031,940"
20,"Fred VanVleet, PG",Houston Rockets,"$42,846,615"
RK,NAME,TEAM,SALARY
21,"Lauri Markkanen, PF",Utah Jazz,"$42,176,400"
22,"Anthony Edwards, SG",Minnesota Timberwolves,"$42,176,400"
23,"Tyrese Haliburton, PG",Indiana Pacers,"$42,176,000"
24,"Pascal Siakam, PF",Indiana Pacers,"$42,176,000"
25,"Kyrie Irving, PG",Dallas Mavericks,"$41,000,000"
26,"Domantas Sabonis, PF",Sacramento Kings,"$40,500,000"
27,"Ben Simmons, PG",LA Clippers,"$40,338,144"
28,"Ja Morant, PG",Memphis Grizzlies,"$36,725,670"
29,"Darius Garland, PG",Cleveland Cavaliers,"$36,725,670"
30,"Zion Williamson, PF",New Orleans Pelicans,"$36,725,670"
RK,NAME,TEAM,SALARY
31,"OG Anunoby, SF",New York Knicks,"$36,637,931"
32,"Brandon Ingram, SF",New Orleans Pelicans,"$36,016,200"
